,housing,campaign,job,age,loan,marital,education
0,no,1,housemaid,56,no,married,basic.4y
1,no,1,services,57,no,married,high.school
2,yes,1,services,37,no,married,high.school
3,no,1,admin.,40,no,married,basic.6y
4,no,1,services,56,yes,married,high.school
5,no,1,services,45,no,married,basic.9y
6,no,1,admin.,59,no,married,professional.course
7,no,1,blue-collar,41,no,married,unknown
8,yes,1,technician,24,no,single,professional.course
9,yes,1,services,25,no,single,high.school
10,no,1,blue-collar,41,no,married,unknown
11,yes,1,services,25,no,single,high.school
12,no,1,blue-collar,29,yes,single,high.school
13,yes,1,housemaid,57,no,divorced,basic.4y
14,yes,1,blue-collar,35,no,married,basic.6y
15,yes,1,retired,54,yes,married,basic.9y
16,yes,1,blue-collar,35,no,married,basic.6y
17,yes,1,blue-collar,46,yes,married,basic.6y
18,yes,1,blue-collar,50,yes,married,basic.9y
19,no,1,management,39,no,single,basic.9y
20,no,1,unemployed,30,no,married,high.school
21,yes,1,blue-collar,55,no,married,basic.4y
22,yes,1,retired,55,no,single,high.school
23,yes,1,technician,41,no,single,high.school
24,yes,1,admin.,37,no,married,high.school
25,no,1,technician,35,yes,married,university.degree
26,yes,1,technician,59,no,married,unknown
27,no,1,self-employed,39,no,married,basic.9y
28,no,2,technician,54,no,single,university.degree
29,unknown,1,unknown,55,unknown,married,university.degree
30,no,1,admin.,46,no,married,unknown
31,yes,1,technician,59,no,married,unknown
32,no,1,blue-collar,49,no,married,unknown
33,yes,1,management,54,no,married,basic.4y
34,no,1,blue-collar,54,no,divorced,basic.4y
35,yes,1,unknown,55,no,married,basic.4y
36,no,1,services,34,no,married,high.school
37,yes,1,technician,52,no,married,basic.9y
38,yes,1,admin.,41,no,married,university.degree
39,yes,1,technician,56,no,married,basic.4y
40,yes,1,management,58,no,unknown,university.degree
41,yes,1,entrepreneur,32,no,married,high.school
42,no,1,admin.,38,no,single,professional.course
43,no,1,admin.,57,yes,married,university.degree
44,yes,1,admin.,44,no,married,university.degree
45,no,1,technician,42,no,single,professional.course
46,yes,1,admin.,57,yes,married,university.degree
47,no,1,blue-collar,40,yes,married,basic.9y
48,yes,1,admin.,35,no,married,university.degree
49,yes,2,blue-collar,45,no,married,basic.9y
50,no,1,admin.,54,no,married,high.school
51,no,1,housemaid,39,yes,married,basic.4y
52,no,1,admin.,60,no,married,high.school
53,no,1,admin.,53,no,single,professional.course
54,no,2,blue-collar,55,no,married,basic.4y
55,yes,1,technician,55,no,married,professional.course
56,no,1,management,50,yes,married,university.degree
57,yes,1,services,45,no,married,high.school
58,yes,1,unemployed,55,yes,married,professional.course
59,yes,1,technician,25,no,single,university.degree
60,no,1,entrepreneur,47,no,married,university.degree
61,yes,1,blue-collar,51,no,married,basic.9y
62,yes,1,blue-collar,42,no,married,basic.6y
63,no,1,blue-collar,42,no,married,basic.6y
64,no,1,admin.,48,no,married,high.school
65,no,1,admin.,37,no,married,university.degree
66,yes,1,blue-collar,44,no,single,basic.9y
67,yes,1,admin.,33,no,married,unknown
68,yes,2,admin.,56,no,married,basic.9y
69,yes,1,blue-collar,44,yes,single,basic.4y
70,no,1,management,41,no,married,basic.6y
71,yes,1,management,44,no,divorced,university.degree
72,yes,1,admin.,47,no,married,university.degree
73,no,1,unknown,57,no,married,unknown
74,yes,1,admin.,37,no,married,university.degree
75,yes,1,blue-collar,41,no,divorced,basic.4y
76,no,1,technician,55,no,married,university.degree
77,yes,2,services,33,no,married,high.school
78,yes,1,management,55,no,married,unknown
79,no,1,blue-collar,42,no,married,basic.9y
80,yes,1,blue-collar,50,no,married,basic.4y
81,unknown,1,blue-collar,51,unknown,married,basic.4y
82,no,2,admin.,38,no,married,high.school
83,yes,1,entrepreneur,49,no,married,university.degree
84,no,1,technician,38,yes,single,university.degree
85,no,1,admin.,31,no,divorced,high.school
86,no,2,management,41,no,married,basic.6y
87,yes,1,admin.,39,yes,married,university.degree
88,no,1,technician,49,no,married,basic.9y
89,yes,2,admin.,34,no,married,high.school
90,yes,2,admin.,35,no,married,university.degree
91,yes,1,unknown,57,no,married,unknown
92,no,2,admin.,60,yes,married,unknown
93,no,1,unemployed,33,no,married,basic.9y
94,no,1,blue-collar,42,yes,married,basic.6y
95,yes,1,services,45,no,married,professional.course
96,no,1,management,42,no,married,university.degree
97,no,1,admin.,53,no,divorced,university.degree
98,no,1,technician,37,no,single,professional.course
99,no,1,blue-collar,44,no,married,basic.6y
100,yes,1,services,54,no,married,unknown
101,no,3,blue-collar,49,no,married,basic.4y
102,no,1,services,54,no,married,unknown
103,no,1,admin.,52,no,divorced,university.degree
104,no,1,admin.,52,no,divorced,university.degree
105,no,1,services,43,no,single,high.school
106,yes,2,housemaid,34,no,married,basic.6y
107,yes,2,admin.,35,no,married,high.school
108,yes,1,entrepreneur,42,no,married,unknown
109,yes,1,technician,43,yes,married,unknown
110,no,1,retired,60,no,divorced,university.degree
111,no,2,unemployed,58,no,married,basic.4y
112,yes,1,services,35,no,divorced,high.school
113,yes,2,blue-collar,55,no,married,basic.9y
114,no,2,management,37,no,married,university.degree
115,no,1,blue-collar,36,no,married,high.school
116,no,2,admin.,52,no,divorced,university.degree
117,yes,1,blue-collar,57,no,divorced,unknown
118,yes,1,admin.,56,no,married,unknown
119,yes,1,blue-collar,48,no,divorced,basic.4y
120,yes,1,blue-collar,40,no,married,high.school
121,no,1,blue-collar,49,no,divorced,high.school
122,no,1,services,41,no,married,high.school
123,yes,1,technician,45,no,married,high.school
124,yes,1,admin.,32,yes,married,university.degree
125,no,2,admin.,42,yes,married,university.degree
126,no,1,admin.,50,no,married,basic.6y
127,yes,1,technician,31,yes,divorced,professional.course
128,yes,2,retired,56,no,married,basic.4y
129,yes,1,technician,41,no,married,professional.course
130,yes,1,blue-collar,37,yes,married,basic.6y
131,no,1,technician,41,no,married,professional.course
132,yes,1,blue-collar,35,no,married,unknown
133,yes,1,blue-collar,37,no,married,basic.6y
134,no,1,management,52,no,married,university.degree
135,no,1,management,39,no,divorced,university.degree
136,no,2,housemaid,39,no,married,basic.4y
137,no,2,blue-collar,56,no,married,basic.4y
138,yes,2,services,34,no,married,high.school
139,yes,1,blue-collar,45,no,married,basic.9y
140,yes,1,unemployed,43,no,single,university.degree
141,yes,1,management,56,no,married,unknown
142,yes,1,management,39,no,married,university.degree
143,yes,1,blue-collar,53,no,married,basic.4y
144,yes,1,unknown,38,no,divorced,high.school
145,yes,1,blue-collar,42,no,married,basic.4y
